Nama Mobil,Harga,Tahun,Usia,Bahan Bakar,Transmisi,Kapasitas Mesin,harga_angka
Bmw 528i Msport F10 Lci Tahun (2015),Rp 314.000.000,2015,10,Bensin,Matic,2000 cc,314000000
Bmw 528i Luxury Sedan (2015),Rp 390.000.000,2015,10,Bensin,Matic,2000 cc,390000000
Honda Mobilio E At (2019),Rp 160.000.000,2019,6,Bensin,Matic,1500 cc,160000000
Toyota Fortuner Vrz Trd (2020),Rp 426.000.000,2020,5,Diesel,Matic,2400 cc,426000000
Toyota Avanza G Tss At (2021),Rp 196.000.000,2021,4,Bensin,Matic,1500 cc,196000000
Mitsubishi Xpander Ultimate At  Silver (2019),Rp 205.000.000,2019,6,Bensin,Matic,1500 cc,205000000
Daihatsu Sigra R Mt (2021),Rp 142.500.000,2021,4,Bensin,Manual,1200 cc,142500000
Toyota Yaris Gr Sport At  Putih (2022),Rp 232.000.000,2022,3,Bensin,Matic,1500 cc,232000000
Toyota Kijang Innova V Mt (2021),Rp 295.000.000,2021,4,Bensin,Manual,2000 cc,295000000
Suzuki Ertiga Gx At (2018),Rp 165.000.000,2018,7,Bensin,Matic,1500 cc,165000000
Honda Brio Satya E  Merah (2020),Rp 132.000.000,2020,5,Bensin,Manual,1200 cc,132000000
Nissan All New X Trail 2500 At (2015),Rp 205.000.000,2015,10,Bensin,Matic,2500 cc,205000000
Toyota Alphard G Atpm (2017),Rp 650.000.000,2017,8,Bensin,Matic,2400 cc,650000000
Toyota Veloz Q Tss Premium Color Mpv (2025),Rp 243.000.000,2025,0,Bensin,Matic,1500 cc,243000000
Toyota Avanza G Mpv (2021),Rp 163.000.000,2021,4,Bensin,Matic,1300 cc,163000000
Toyota Kijang Innova Zenix V Premium Color Mpv (2023),Rp 387.000.000,2023,2,Hybrid,Matic,2000 cc,387000000
Toyota Avanza Veloz (2021),Rp 219.500.000,2021,4,Bensin,Matic,1500 cc,219500000
Daihatsu All New Xenia X Mpv 1300 Mt (2024),Rp 211.000.000,2024,1,Bensin,Manual,1300 cc,211000000
