Nama Mobil,Harga,Tahun,Usia,Bahan Bakar,Transmisi,Kapasitas Mesin,harga_angka
Toyota Kijang Innova G Mpv (2019),Rp 249.000.000,2019,6,Bensin,Matic,2000 cc,249000000
Toyota Veloz Q Tss Mpv (2022),Rp 242.000.000,2022,3,Bensin,Matic,1500 cc,242000000
Suzuki Ertiga Gx Mpv (2018),Rp 165.000.000,2018,7,Bensin,Matic,1400 cc,165000000
Toyota Avanza At  Hitam (2023),Rp 190.000.000,2023,2,Bensin,Matic,1300 cc,190000000
Toyota Calya G Mpv (2022),Rp 142.000.000,2022,3,Bensin,Matic,1200 cc,142000000
Honda Hrv E Prestige At (2019),Rp 250.000.000,2019,6,Bensin,Matic,1500 cc,250000000
Toyota Voxy  Hitam (2019),Rp 325.000.000,2019,6,Bensin,Matic,2000 cc,325000000
Toyota Kijang Innova G Mt (2024),Rp 360.000.000,2024,1,Diesel,Matic,2400 cc,360000000
Toyota Kijang Innova V Solar At (2021),Rp 395.000.000,2021,4,Bensin,Matic,2400 cc,395000000
Honda Crv At (2015),Rp 172.000.000,2015,10,Bensin,Matic,2000 cc,172000000
Toyota Avanza Veloz (2021),Rp 193.000.000,2021,4,Bensin,Matic,1500 cc,193000000
Bmw 740li 30 Pure Excellence (2018),Rp 790.000.000,2018,7,Bensin,Matic,3000 cc,790000000
BMW 740Li G12 B58 Luxury Sedan (2016),Rp 698.000.000,2016,9,Bensin,Matic,3000 cc,698000000
Toyota Innova G Bensin At (2021),Rp 315.000.000,2021,4,Bensin,Matic,2000 cc,315000000
Toyota Avanza Veloz At (2021),Rp 182.000.000,2021,4,Bensin,Matic,1500 cc,182000000
Mitsubishi Xpander Cross Premium At  Putih (2020),Rp 228.000.000,2020,5,Bensin,Matic,1500 cc,228000000
Honda Hrv E (2021),Rp 244.000.000,2021,4,Bensin,Matic,1500 cc,244000000
Honda Brio Satya E Cvt (2019),Rp 138.000.000,2019,6,Bensin,Matic,1200 cc,138000000
Honda Brio Rs  Silver (2019),Rp 158.000.000,2019,6,Bensin,Matic,1200 cc,158000000
Toyota All New Avanza Veloz Q Cvt (2022),Rp 239.000.000,2022,3,Bensin,Matic,1500 cc,239000000
Toyota Kijang Innova G Mpv (2020),Rp 259.000.000,2020,5,Bensin,Matic,2000 cc,259000000
Toyota Innova G 2 0 Matic (2015),Rp 185.000.000,2015,10,Bensin,Matic,1500 cc,185000000
Honda Brio Rs (2023),Rp 173.000.000,2023,2,Bensin,Manual,1200 cc,173000000
Honda Brio Satya E (2019),Rp 143.000.000,2019,6,Bensin,Matic,1200 cc,143000000
Toyota Innova 20 J Bensin Mt (2015),Rp 148.000.000,2015,10,Bensin,Manual,1500 cc,148000000
Toyota Veloz Q Tss Mpv (2022),Rp 238.000.000,2022,3,Bensin,Matic,1500 cc,238000000
Toyota Camry V At (2015),Rp 215.000.000,2015,10,Bensin,Matic,2500 cc,215000000
Wuling Cortez L Lux Mt (2018),Rp 137.000.000,2018,7,Bensin,Manual,1800 cc,137000000
Toyota Innova 20 V Bensin (2015),Rp 285.000.000,2015,10,Bensin,Matic,1500 cc,285000000
Toyota Calya G Mpv (2018),Rp 116.000.000,2018,7,Bensin,Matic,1200 cc,116000000
Honda Brio  E Satya Putih (2021),Rp 138.000.000,2021,4,Bensin,Manual,1200 cc,138000000
Daihatsu New Ayla Type X 1000 Mt (2019),Rp 109.000.000,2019,6,Bensin,Manual,1000 cc,109000000
Tangan Pertama Pemakaian Wanita Hrv 15se Tahun (2021),Rp 270.000.000,2021,4,Bensin,Matic,1500 cc,270000000
Suzuki Jimny Two Tone (2023),Rp 449.000.000,2023,2,Bensin,Matic,1500 cc,449000000
Toyota Kijang Innova G Lux Capt Seat (2021),Rp 295.000.000,2021,4,Bensin,Matic,2000 cc,295000000
Toyota Calya Type G Lux 1200 Mt (2023),Rp 153.000.000,2023,2,Bensin,Manual,1200 cc,153000000
Toyota Fortuner Vrz Diesel (2024),Rp 564.000.000,2024,1,Diesel,Matic,2800 cc,564000000
Toyota Fortuner Vrz (2025),Rp 671.900.000,2025,0,Diesel,Matic,2400 cc,671900000
Toyota Avanza G Mt (2019),Rp 162.000.000,2019,6,Bensin,Manual,1300 cc,162000000
Toyota All New Avanza G Cvt At (2023),Rp 211.000.000,2023,2,Bensin,Matic,1500 cc,211000000
Toyota Calya G At (2017),Rp 120.000.000,2017,8,Bensin,Matic,1200 cc,120000000
Toyota Kijang Innova Zenix V (2022),Rp 395.000.000,2022,3,Hybrid,Matic,2000 cc,395000000
Honda Jazz Rs hatchback (2015),Rp 135.000.000,2015,10,Bensin,Matic,1500 cc,135000000
Toyota Avanza Veloz Q Cvt At (2022),Rp 232.000.000,2022,3,Bensin,Matic,1500 cc,232000000
Honda Brio Rs (2021),Rp 167.000.000,2021,4,Bensin,Matic,1200 cc,167000000
Toyota Corolla Cross Hybrid (2021),Rp 335.000.000,2021,4,Hybrid,Matic,1800 cc,335000000
Toyota All New Avanza G Cvt At (2022),Rp 195.000.000,2022,3,Bensin,Matic,1500 cc,195000000
Honda Brio Rs (2021),Rp 181.000.000,2021,4,Bensin,Matic,1200 cc,181000000
Toyota Avanza Veloz (2020),Rp 178.000.000,2020,5,Bensin,Matic,1300 cc,178000000
Toyota Avanza G Mpv (2022),Rp 200.000.000,2022,3,Bensin,Matic,1500 cc,200000000
Mitsubishi Xpander Gls At (2023),Rp 209.000.000,2023,2,Bensin,Matic,1500 cc,209000000
Toyota Avanza Veloz Q Cvt At (2022),Rp 219.000.000,2022,3,Bensin,Matic,1500 cc,219000000
Toyota Vios G At (2018),Rp 183.000.000,2018,7,Bensin,Matic,1500 cc,183000000
Toyota Avanza Mpv (2022),Rp 201.000.000,2022,3,Bensin,Matic,1500 cc,201000000
Honda Mobilio Rs Cvt (2015),Rp 145.000.000,2015,10,Bensin,Matic,1500 cc,145000000
Toyota Avanza Veloz Mt (2020),Rp 195.000.000,2020,5,Bensin,Manual,1500 cc,195000000
Toyota Avanza Veloz (2021),Rp 200.000.000,2021,4,Bensin,Matic,1500 cc,200000000
Honda Brio Rs Cvt (2017),Rp 135.000.000,2017,8,Bensin,Matic,1200 cc,135000000
Honda Brio Satya E Mt (2021),Rp 140.000.000,2021,4,Bensin,Manual,1200 cc,140000000
Brio E  Manual (2015),Rp 103.000.000,2015,10,Bensin,Manual,1500 cc,103000000
Honda Brio Satya E Mt (2021),Rp 144.000.000,2021,4,Bensin,Manual,1200 cc,144000000
Toyota Avanza G Mt (2021),Rp 210.000.000,2021,4,Bensin,Manual,1500 cc,210000000
Bmw 740li G12 M Sport (2022),Rp 1.450.000.000,2022,3,Bensin,Matic,3000 cc,1450000000
Toyota Altis V 2021 Record (2020),Rp 265.000.000,2020,5,Bensin,Matic,1800 cc,265000000
Toyota Kijang Innova Zenix Automatic (2022),Rp 401.000.000,2022,3,Hybrid,Matic,2000 cc,401000000
Xenia X Mt  Pajak Panjang Tahun Depan Kondisi Mulus Seperti Baru (2023),Rp 185.000.000,2023,2,Bensin,Manual,1300 cc,185000000
Toyota Avanza G At (2024),Rp 230.000.000,2024,1,Bensin,Matic,1500 cc,230000000
Toyota Innova V At (2022),Rp 325.000.000,2022,3,Bensin,Matic,2000 cc,325000000
Honda Brio Rs Hatchback (2019),Rp 144.000.000,2019,6,Bensin,Matic,1200 cc,144000000
Daihatsu Sigra R Dlx Mt (2020),Rp 140.000.000,2020,5,Bensin,Manual,1200 cc,140000000
Toyota Kijang Innova G Diesel At (2018),Rp 290.000.000,2018,7,Diesel,Matic,2400 cc,290000000
Honda Jazz Rs (2019),Rp 217.000.000,2019,6,Bensin,Matic,1500 cc,217000000
Mitsubishi Outlander Sport Gls At (2016),Rp 160.000.000,2016,9,Bensin,Matic,2000 cc,160000000
Toyota Agya G Mt (2021),Rp 129.000.000,2021,4,Bensin,Manual,1200 cc,129000000
Toyota Avanza G Tss Bensin At (2021),Rp 195.000.000,2021,4,Bensin,Matic,1500 cc,195000000
Toyota Kijang Innova G Manual (2016),Rp 199.000.000,2016,9,Bensin,Manual,2000 cc,199000000
Jazz Rs (2018),Rp 204.900.000,2018,7,Bensin,Matic,1500 cc,204900000
Honda Hrv Prestige Cvt (2016),Rp 235.000.000,2016,9,Bensin,Matic,1800 cc,235000000
Honda Crv Turbo Suv (2022),Rp 402.000.000,2022,3,Bensin,Matic,1500 cc,402000000
Honda Jazz Rs Hatchback (2016),Rp 185.000.000,2016,9,Bensin,Matic,1500 cc,185000000
Honda Brio E Satya At  Abu (2022),Rp 157.000.000,2022,3,Bensin,Matic,1200 cc,157000000
Toyota Innova G  Automatic Silver (2021),Rp 355.000.000,2021,4,Diesel,Matic,2400 cc,355000000
Nissan Serena Highway Starr (2019),Rp 265.000.000,2019,6,Bensin,Matic,2000 cc,265000000
Toyota Avanza Type G Manual (2018),Rp 141.000.000,2018,7,Bensin,Manual,1300 cc,141000000
Honda Brio Rs Urbanite At (2023),Rp 180.000.000,2023,2,Bensin,Matic,1200 cc,180000000
Honda Brio Rs Cvt  Abu Abu (2021),Rp 181.000.000,2021,4,Bensin,Matic,1200 cc,181000000
Honda Brio Satya E Hatchback (2022),Rp 157.000.000,2022,3,Bensin,Matic,1200 cc,157000000
Honda Brio E At Putih (2015),Rp 110.000.000,2015,10,Bensin,Matic,1200 cc,110000000
Daihatsu Terios X Deluxe At  Hitam (2021),Rp 192.000.000,2021,4,Bensin,Matic,1500 cc,192000000
Toyota Kijang Innova Zenix Tss Modellista Wagon Km 1 Rbuan (2022),Rp 540.000.000,2022,3,Hybrid,Matic,2000 cc,540000000
Toyota Voxy  Hitam (2018),Rp 310.000.000,2018,7,Bensin,Matic,2000 cc,310000000
Honda Accord Turbo Sensing (2020),Rp 390.000.000,2020,5,Bensin,Matic,1500 cc,390000000
Honda New Accord 1.5 Cvt (2022),Rp 545.000.000,2022,3,Bensin,Matic,1500 cc,545000000
Toyota Avanza G  Abu (2023),Rp 212.000.000,2023,2,Bensin,Matic,1500 cc,212000000
Honda Hrv Prestige (2021),Rp 295.000.000,2021,4,Bensin,Matic,1800 cc,295000000
Honda Jazz Rs Cvt (2015),Rp 135.000.000,2015,10,Bensin,Matic,1500 cc,135000000
Suzuki Baleno Hatchback At (2020),Rp 175.000.000,2020,5,Bensin,Matic,1400 cc,175000000
Toyota Innova G  At (2015),Rp 198.000.000,2015,10,Bensin,Matic,2000 cc,198000000
Toyota Avanza Veloz (2022),Rp 235.000.000,2022,3,Bensin,Matic,1500 cc,235000000
Toyota Avanza G Mt (2021),Rp 165.000.000,2021,4,Bensin,Manual,1300 cc,165000000
Kijang Innova Tahun  Bensin Automatic (2019),Rp 270.000.000,2019,6,Bensin,Matic,1980 cc,270000000
Daihatsu All New Xenia R Cvt (2021),Rp 189.000.000,2021,4,Bensin,Matic,1500 cc,189000000
Toyota Kijang Innova G (2019),Rp 289.000.000,2019,6,Diesel,Manual,2400 cc,289000000
Mitsubishi Xpander Cross Mpv (2020),Rp 220.000.000,2020,5,Bensin,Matic,1500 cc,220000000
Toyota Agya (2022),Rp 142.000.000,2022,3,Bensin,Matic,1200 cc,142000000
Toyota Avanza Tipe G At (2020),Rp 157.000.000,2020,5,Bensin,Matic,1300 cc,157000000
Toyota Rush Gr Sport At (2022),Rp 235.000.000,2022,3,Bensin,Matic,1500 cc,235000000
Mobil Wuling Formo S (2024),Rp 95.000.000,2024,1,Bensin,Manual,1200 cc,95000000
Honda Crv Turbo Prestige 15 At (2018),Rp 327.000.000,2018,7,Bensin,Matic,1500 cc,327000000
Honda Brio Satya E (2016),Rp 110.000.000,2016,9,Bensin,Manual,1200 cc,110000000
Honda Hrv E Cvt (2019),Rp 240.000.000,2019,6,Bensin,Matic,1500 cc,240000000
Toyota Avanza Veloz Q Cvt At (2023),Rp 235.000.000,2023,2,Bensin,Matic,1500 cc,235000000
Toyota Avanza Veloz Q Cvt At (2024),Rp 256.000.000,2024,1,Bensin,Matic,1500 cc,256000000
Toyota Innova Zenix V (2023),Rp 390.000.000,2023,2,Hybrid,Matic,2000 cc,390000000
Toyota Avanza Type Veloz Gr Limited 1500 At (2021),Rp 225.000.000,2021,4,Bensin,Matic,1500 cc,225000000
Toyota Innova Zenix Q Hybrid Modelista (2022),Rp 550.000.000,2022,3,Hybrid,Matic,1500 cc,550000000
Toyota Voxy At (2018),Rp 295.000.000,2018,7,Bensin,Matic,2000 cc,295000000
Toyota Kijang Innova Zenix V Premium Color Mpv (2023),Rp 395.000.000,2023,2,Hybrid,Matic,2000 cc,395000000
Honda Brio E Satya (2022),Rp 157.000.000,2022,3,Bensin,Matic,1200 cc,157000000
Toyota Calya G Lcgc Lux 1200 Mt (2024),Rp 158.000.000,2024,1,Bensin,Manual,1200 cc,158000000
Toyota Rush Gr Sport At  Silver (2022),Rp 234.000.000,2022,3,Bensin,Matic,1500 cc,234000000
Suzuki Xl7 (2020),Rp 199.000.000,2020,5,Bensin,Matic,1500 cc,199000000
Honda New Brio Type E 1200 Cvt (2023),Rp 183.000.000,2023,2,Bensin,Matic,1200 cc,183000000
Toyota Innova Zenix G Hv Hybrid At (2024),Rp 398.000.000,2024,1,Hybrid,Matic,2000 cc,398000000
Honda Crv Turbo (2022),Rp 402.000.000,2022,3,Bensin,Matic,1500 cc,402000000
Toyota Innova G Matic  Hitam (2022),Rp 294.000.000,2022,3,Bensin,Matic,2000 cc,294000000
Toyota Kijang Innova Zenix Q Hv Cvt Tss Modellista Hybrid At (2022),Rp 528.000.000,2022,3,Hybrid,Matic,2000 cc,528000000
Honda Brio Satya E At (2019),Rp 147.000.000,2019,6,Bensin,Matic,1200 cc,147000000
Fortuner Gr Sport 4x2 (2022),Rp 528.000.000,2022,3,Diesel,Matic,2800 cc,528000000
Toyota Avanza Veloz 15  Putih (2021),Rp 191.500.000,2021,4,Bensin,Matic,1500 cc,191500000
Toyota Avanza (2022),Rp 200.000.000,2022,3,Bensin,Matic,1500 cc,200000000
Toyota Avanza Veloz (2021),Rp 235.000.000,2021,4,Bensin,Matic,1500 cc,235000000
Toyota Avanza Veloz Q  Non Tss At (2022),Rp 229.000.000,2022,3,Bensin,Matic,1500 cc,229000000
Ayla X Manual (2024),Rp 119.000.000,2024,1,Bensin,Manual,1000 cc,119000000
Honda Mobilio E (2017),Rp 144.000.000,2017,8,Bensin,Matic,1500 cc,144000000
Toyota Kijang Innova Zenix (2023),Rp 462.000.000,2023,2,Hybrid,Matic,2000 cc,462000000
Honda Brio Rs Cvt Urbanite Edition  At (2021),Rp 190.000.000,2021,4,Bensin,Matic,1200 cc,190000000
Toyota Avanza G  At (2023),Rp 200.000.000,2023,2,Bensin,Matic,1500 cc,200000000
Honda Hrv 18 Prestige Automatic (2016),Rp 191.000.000,2016,9,Bensin,Matic,1800 cc,191000000
Bmw 520i Luxury Sedan Tahun (2017),Rp 345.000.000,2017,8,Bensin,Matic,2000 cc,345000000
Honda Brio Rs (2021),Rp 169.000.000,2021,4,Bensin,Matic,1200 cc,169000000
Honda Brio Satya E (2022),Rp 155.000.000,2022,3,Bensin,Matic,1200 cc,155000000
Xpander Sport (2021),Rp 210.000.000,2021,4,Bensin,Matic,1500 cc,210000000
Mini Cooper S (2015),Rp 280.000.000,2015,10,Bensin,Matic,1600 cc,280000000
Ford Ecosport Titanium At (2015),Rp 120.000.000,2015,10,Bensin,Matic,1500 cc,120000000
Mitsubishi Xpander Cross (2021),Rp 239.000.000,2021,4,Bensin,Matic,1500 cc,239000000
Toyota Avanza Veloz Q Cvt At (2021),Rp 235.000.000,2021,4,Bensin,Matic,1500 cc,235000000
Pajero Dakar 4x2 At (2017),Rp 420.000.000,2017,8,Diesel,Matic,2400 cc,420000000
Honda Jazz Rs At  Putih (2019),Rp 221.000.000,2019,6,Bensin,Matic,1500 cc,221000000
Toyota Avanza E Mpv (2025),Rp 230.000.000,2025,0,Bensin,Matic,1300 cc,230000000
Bmw 320i At Silver (2015),Rp 115.000.000,2015,10,Bensin,Matic,2000 cc,115000000
Bmw F30 320d 2.0 sport (2015),Rp 279.000.000,2015,10,Diesel,Matic,2000 cc,279000000
Bmw 320d 2.0 sport (2016),Rp 380.000.000,2016,9,Diesel,Matic,2000 cc,380000000
Toyota Innova Zenix Hybrid Tss Modellista Rse (2022),Rp 520.000.000,2022,3,Hybrid,Matic,2000 cc,520000000
Toyota Avanza G Mt (2023),Rp 219.000.000,2023,2,Bensin,Manual,1500 cc,219000000
Toyota Calya G At  Silver (2022),Rp 142.000.000,2022,3,Bensin,Matic,1200 cc,142000000
Toyota Avanza G At (2023),Rp 210.000.000,2023,2,Bensin,Matic,1500 cc,210000000
Toyota Avanza G Mpv (2024),Rp 218.000.000,2024,1,Bensin,Matic,1500 cc,218000000
Toyota Avanza (2021),Rp 176.000.000,2021,4,Bensin,Matic,1300 cc,176000000
Toyota Kijang Innova Zenix Q Hv Cvt Tss Modellista Hybrid (2024),Rp 539.000.000,2024,1,Hybrid,Matic,2000 cc,539000000
Honda Jazz Rs At (2016),Rp 185.000.000,2016,9,Bensin,Matic,1500 cc,185000000
Honda Brio Satya E Hatchback (2020),Rp 134.000.000,2020,5,Bensin,Matic,1200 cc,134000000
Toyota Avanza Veloz L Q Cvt At (2022),Rp 235.000.000,2022,3,Bensin,Matic,1500 cc,235000000
Suzuki Ertiga Gx At Hitam (2020),Rp 183.000.000,2020,5,Bensin,Matic,1500 cc,183000000
Mobil Mitsubishi Mirage (2016),Rp 90.000.000,2016,9,Bensin,Manual,1200 cc,90000000
Toyota Kijang Innova Venturer Solar At (2022),Rp 475.000.000,2022,3,Diesel,Matic,2400 cc,475000000
Mitsubishi Pajero Sport Dakar 4x2 (2021),Rp 475.000.000,2021,4,Diesel,Matic,2400 cc,475000000
Toyota Kijang Innova Reborn G Diesel (2023),Rp 365.000.000,2023,2,Diesel,Matic,2400 cc,365000000
Toyota Avanza G Bensin At (2022),Rp 195.000.000,2022,3,Bensin,Matic,1500 cc,195000000
Toyota Innova Venturer (2022),Rp 495.000.000,2022,3,Diesel,Matic,2400 cc,495000000
Honda Brio Rs At (2018),Rp 165.000.000,2018,7,Bensin,Matic,1200 cc,165000000
Toyota Kijang Innova Zenix Q Hybrid Cvt Modelista Tss At (2023),Rp 499.000.000,2023,2,Hybrid,Matic,2000 cc,499000000
Honda Jazz Rs (2021),Rp 279.000.000,2021,4,Bensin,Matic,1500 cc,279000000
Toyota Yaris G Hatchback (2018),Rp 157.000.000,2018,7,Bensin,Matic,1500 cc,157000000
Honda Jazz Rs At (2020),Rp 248.000.000,2020,5,Bensin,Matic,1500 cc,248000000
Toyota Calya G Mt (2019),Rp 135.000.000,2019,6,Bensin,Manual,1200 cc,135000000
Honda Brio Satya E Cvt (2019),Rp 151.000.000,2019,6,Bensin,Matic,1200 cc,151000000
Honda Brio E Satya (2019),Rp 127.000.000,2019,6,Bensin,Manual,1200 cc,127000000
Brio E Satya Mt (2019),Rp 129.000.000,2019,6,Bensin,Manual,1200 cc,129000000
Toyota Agya G Trd (2016),Rp 101.000.000,2016,9,Bensin,Matic,1000 cc,101000000
Mitsubishi Pajero Sport Dakar (2022),Rp 500.000.000,2022,3,Diesel,Matic,2400 cc,500000000
Toyota Fortuner Vrz At (2023),Rp 500.000.000,2023,2,Diesel,Matic,2800 cc,500000000
Toyota Avanza G Mpv  Putih (2022),Rp 187.000.000,2022,3,Bensin,Manual,1500 cc,187000000
Honda Jazz Rs Cvt  Merah (2016),Rp 185.000.000,2016,9,Bensin,Matic,1500 cc,185000000
Toyota Avanza Veloz Q  Non Tss (2023),Rp 245.000.000,2023,2,Bensin,Matic,1500 cc,245000000
Mitshubishi Pajero Sport Dakar 4x2 At (2022),Rp 490.000.000,2022,3,Diesel,Matic,2400 cc,490000000
Honda Brio E At (2015),Rp 112.000.000,2015,10,Bensin,Matic,1500 cc,112000000
Toyota Kijang Innova G Mpv (2016),Rp 218.000.000,2016,9,Bensin,Matic,2000 cc,218000000
Toyota Avanza Veloz Q  Non Tss (2024),Rp 255.000.000,2024,1,Bensin,Matic,1500 cc,255000000
Wuling Confero Std Double Blower Mpv Special Edition 1500 Mt (2022),Rp 118.000.000,2022,3,Bensin,Manual,1500 cc,118000000
Honda Brio Rs Matic (2017),Rp 130.000.000,2017,8,Bensin,Matic,1200 cc,130000000
Honda Brio Rs Cvt At (2018),Rp 142.000.000,2018,7,Bensin,Matic,1200 cc,142000000
Daihatsu Sigra Type D Minor Change 1000 Mt (2023),Rp 124.000.000,2023,2,Bensin,Manual,1000 cc,124000000
Honda Odyssey S At (2015),Rp 230.000.000,2015,10,Bensin,Matic,1500 cc,230000000
Daihatsu Sirion (2018),Rp 142.000.000,2018,7,Bensin,Matic,1300 cc,142000000
Toyota Alphard G Atpm (2017),Rp 655.000.000,2017,8,Bensin,Matic,2400 cc,655000000
Hyundai H 1 Royale Diesel (2015),Rp 250.000.000,2015,10,Diesel,Matic,2500 cc,250000000
Wuling Almaz Ex (2019),Rp 172.000.000,2019,6,Bensin,Matic,1500 cc,172000000
Brio E Cvt (2018),Rp 130.000.000,2018,7,Bensin,Matic,1200 cc,130000000
Innova Manual Diesel (2020),Rp 325.000.000,2020,5,Diesel,Manual,24000 cc,325000000
Toyota Avanza G Mpv (2021),Rp 192.000.000,2021,4,Bensin,Matic,1400 cc,192000000
Mitshubishi Pajero Sport Dakar 4x2 At (2022),Rp 490.000.000,2022,3,Diesel,Matic,2400 cc,490000000
Toyota Avanza E Mt (2022),Rp 174.000.000,2022,3,Bensin,Manual,1300 cc,174000000
Honda Brio Satya E Cvt At Matic  Silver (2016),Rp 99.500.000,2016,9,Bensin,Matic,1200 cc,99500000
Toyota Yaris S Trd Cvt (2021),Rp 191.000.000,2021,4,Bensin,Matic,1500 cc,191000000
Toyota New Rush S Suv Gr Sport 1500 Mt (2022),Rp 245.000.000,2022,3,Bensin,Matic,1500 cc,245000000
Toyota Avanza Veloz Q Automatic (2023),Rp 248.000.000,2023,2,Bensin,Matic,1500 cc,248000000
Honda Brv E Prestige (2022),Rp 235.000.000,2022,3,Bensin,Matic,1500 cc,235000000
Toyota Avanza G (2022),Rp 198.000.000,2022,3,Bensin,Matic,1500 cc,198000000
Honda City Rs Hb Mt (2021),Rp 205.000.000,2021,4,Bensin,Manual,1500 cc,205000000
Jazz Rs Cvt  Matic (2018),Rp 230.000.000,2018,7,Bensin,Matic,1500 cc,230000000
Toyota Innova G At Bensin (2019),Rp 251.000.000,2019,6,Bensin,Matic,2000 cc,251000000
Toyota Avanza G At (2023),Rp 215.000.000,2023,2,Bensin,Matic,1500 cc,215000000
Toyota Avanza 1 5 G At (2023),Rp 212.000.000,2023,2,Bensin,Matic,1500 cc,212000000
Toyota Avanza G Mt (2020),Rp 150.000.000,2020,5,Bensin,Manual,1300 cc,150000000
Honda Hrv E Se (2019),Rp 234.000.000,2019,6,Bensin,Matic,1500 cc,234000000
Mitsubishi Pajero Sport Dakar (2015),Rp 265.000.000,2015,10,Diesel,Matic,2500 cc,265000000
Toyota Avanza 13 E At (2022),Rp 180.000.000,2022,3,Bensin,Matic,1300 cc,180000000
Toyota Kijang Innova Zenix V Cvt Bensin At (2022),Rp 385.000.000,2022,3,Hybrid,Matic,2000 cc,385000000
Hyundai Santa Fe At (2020),Rp 310.000.000,2020,5,Bensin,Matic,2400 cc,310000000
Toyota Yaris S Trd At  Merah (2021),Rp 210.000.000,2021,4,Bensin,Matic,1500 cc,210000000
Toyota Voxy  Hitam (2018),Rp 310.000.000,2018,7,Bensin,Matic,2000 cc,310000000
All New Kijang Innova V Diesel Automatic (2022),Rp 405.000.000,2022,3,Diesel,Matic,2400 cc,405000000
Xpander Ultimate Cvt Km Rendah Lok Kediri (2023),Rp 285.000.000,2023,2,Bensin,Matic,1500 cc,285000000
Daihatsu Ayla X Mt (2015),Rp 78.000.000,2015,10,Bensin,Manual,1000 cc,78000000
Toyota Avanza G At (2023),Rp 215.000.000,2023,2,Bensin,Matic,1500 cc,215000000
Toyota Rush G Suv (2018),Rp 188.000.000,2018,7,Bensin,Matic,1500 cc,188000000
Toyota New Agya Type G Trd Sportivo 1200 Mt (2022),Rp 149.000.000,2022,3,Bensin,Manual,1200 cc,149000000
Honda Brio E Mt (2022),Rp 135.000.000,2022,3,Bensin,Manual,1200 cc,135000000
Honda Brio Rs Cvt At Kuning (2020),Rp 168.500.000,2020,5,Bensin,Matic,1200 cc,168500000
Toyota Avanza G Mt (2019),Rp 160.000.000,2019,6,Bensin,Matic,1300 cc,160000000
Toyota Innova Zenix V  Automatic Putih (2023),Rp 414.000.000,2023,2,Hybrid,Matic,2000 cc,414000000
Toyota Calya G Mt (2023),Rp 153.000.000,2023,2,Bensin,Manual,1200 cc,153000000
Toyota Rush G Suv (2021),Rp 203.000.000,2021,4,Bensin,Matic,1500 cc,203000000
Honda Jazz S Cvt (2015),Rp 152.000.000,2015,10,Bensin,Matic,1500 cc,152000000
Toyota Avanza E Mpv (2023),Rp 177.000.000,2023,2,Bensin,Matic,1300 cc,177000000
Toyota Avanza G At (2017),Rp 150.000.000,2017,8,Bensin,Matic,1300 cc,150000000
Toyota Gr Corolla Hatchback (2024),Rp 1.899.000.000,2024,1,Bensin,Manual,1600 cc,1899000000
Honda Brio Satya E Hatchback (2021),Rp 138.000.000,2021,4,Bensin,Matic,1200 cc,138000000
Honda Brio Rs Mt (2019),Rp 148.000.000,2019,6,Bensin,Manual,1200 cc,148000000
Honda Crv Prestige Turbo (2017),Rp 335.000.000,2017,8,Bensin,Matic,1500 cc,335000000
Honda Brio E Satya  At (2022),Rp 150.000.000,2022,3,Bensin,Matic,1200 cc,150000000
Toyota Kijang Innova (2020),Rp 260.000.000,2020,5,Bensin,Matic,2000 cc,260000000
Toyota Avanza Veloz 15 Mt (2021),Rp 190.000.000,2021,4,Bensin,Matic,1500 cc,190000000
Honda Brio E At (2017),Rp 125.000.000,2017,8,Bensin,Matic,1200 cc,125000000
Honda Brio Rs Mt (2016),Rp 140.000.000,2016,9,Bensin,Manual,1200 cc,140000000
Toyota Veloz Q  Putih (2021),Rp 235.000.000,2021,4,Bensin,Matic,1500 cc,235000000
Daihatsu All New Terios Type X 1500 Mt (2021),Rp 207.000.000,2021,4,Bensin,Manual,1500 cc,207000000
Toyota Avanza G Mpv (2021),Rp 175.000.000,2021,4,Bensin,Matic,1300 cc,175000000
Honda Brio (2019),Rp 143.000.000,2019,6,Bensin,Manual,1200 cc,143000000
Toyota Kijang Innova G Mpv (2019),Rp 249.000.000,2019,6,Bensin,Manual,2000 cc,249000000
Honda Brio Rs (2018),Rp 144.000.000,2018,7,Bensin,Matic,1200 cc,144000000
Ford Fiesta Matic (2015),Rp 78.000.000,2015,10,Bensin,Matic,1400 cc,78000000
Toyota Fortuner Vrz  Diesel 2020 Hitam (2019),Rp 370.000.000,2019,6,Diesel,Matic,2400 cc,370000000
Toyota Avanza Veloz Q (2022),Rp 219.000.000,2022,3,Bensin,Matic,1500 cc,219000000
Honda Brio Rs Hatchback (2018),Rp 142.000.000,2018,7,Bensin,Matic,1200 cc,142000000
Toyota Kijang Innova Zenix Q Hv Cvt Tss Modellista Hybrid At (2023),Rp 539.000.000,2023,2,Hybrid,Matic,2000 cc,539000000
Toyota Yaris Gr Sport At (2022),Rp 232.000.000,2022,3,Bensin,Matic,1500 cc,232000000
Toyota Avanza (2022),Rp 243.000.000,2022,3,Bensin,Matic,1500 cc,243000000
Brio E  Mt 2015 (2015),Rp 97.000.000,2015,10,Bensin,Manual,1500 cc,97000000
Toyota Avanza G At (2024),Rp 229.000.000,2024,1,Bensin,Matic,1500 cc,229000000
Toyota Kijang Innova Venturer (2021),Rp 333.500.000,2021,4,Bensin,Matic,2000 cc,333500000
